[SYS] 2026/09/06 - 17:40:03 | initializing token encoders 
[SYS] 2026/09/06 - 17:40:03 | token encoders initialized 
[SYS] 2026/09/06 - 17:40:03 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/09/06 - 17:40:03 | database migration started 
[SYS] 2026/09/06 - 17:40:04 | system is already initialized at: 2026-09-06 12:54:27 +0800 CST 
[SYS] 2026/09/06 - 17:40:04 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/09/06 - 17:40:04 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/09/06 - 17:40:04 | Loaded 0 custom OAuth providers 
[SYS] 2026/09/06 - 17:40:04 | New API  started 
[INFO] 2026/09/06 - 17:40:04 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/09/06 - 17:40:04 | 正在更新数据看板数据... 
[SYS] 2026/09/06 - 17:40:04 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/09/06 - 17:40:04 | SYSTEM | system task runner started: runner=2d7294a4a8d6-mTI5apgS idle_interval=15s 
[INFO] 2026/09/06 - 17:40:04 | SYSTEM | subscription quota reset task started: tick=1m0s 

  [33mWarning: Refresh cookie is not secure and refresh/logout Origin validation is disabled. Please set SESSION_COOKIE_SECURE=true in production.[0m


  [32m川邮·星语 API [0m  ready in 323 ms

  ➜  [1mNetwork:[0m http://192.168.215.5:3000/

[GIN] 2026/09/06 - 17:40:07 | web | 202609060940078439839058268d9d60lXPSjz7 | 200 |     177.087µs |   192.168.215.1 |     GET /sign-in
[GIN] 2026/09/06 - 17:40:07 | web | 202609060940078595833098268d9d6pIAD515V | 200 |     136.627µs |   192.168.215.1 |     GET /
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940181460353538268d9d65R7IN51k | 200 |    7.634073ms |   192.168.215.1 |     GET /sign-in
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182224709238268d9d67cz4tmPw | 200 |    9.197439ms |   192.168.215.1 |     GET /static/css/4146.10e003a7e2.css
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182108108928268d9d6NCexpruT | 200 |   41.742024ms |   192.168.215.1 |     GET /static/js/vendor-ui-primitives.b17b3046c5.js
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182166953468268d9d6qwxKllVX | 200 |    35.47802ms |   192.168.215.1 |     GET /static/css/index.92a72bcf4d.css
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182156812848268d9d6NPRR3ouR | 200 |  102.653234ms |   192.168.215.1 |     GET /static/js/lib-react.064bab1680.js
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182104690528268d9d6EFa4CmN7 | 200 |  122.087966ms |   192.168.215.1 |     GET /static/js/vendor-tanstack.74c48f25c5.js
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182185550938268d9d68sFmWGX8 | 200 |  147.558406ms |   192.168.215.1 |     GET /static/js/4146.2e23e4b9dc.js
[GIN] 2026/09/06 - 17:40:18 | web | 202609060940182385249198268d9d6Rhqll9mz | 200 |  361.894057ms |   192.168.215.1 |     GET /static/js/index.5ed34c9e81.js
[GIN] 2026/09/06 - 17:40:18 | api | 202609060940187569847758268d9d60x1uAweP | 200 |    4.104334ms |   192.168.215.1 |     GET /api/status
